Unknown_Words,Closest_Match
returning,unreturning
sonia,sotnia
vihar,vihara
hrs,hers
fuck,yuck
hours,ours
arvindkejriwal,vindemial
penalised,penalize
bses,bases
suppy,supply
karol,karo
bagh,bargh
gaffar,zaffar
nahi,pahi
hai,hami
ive,wive
sanctioned,unsanctioned
ve,voe
charges,charge
months,month
mujhe,mutsje
liye,lye
nhi,ni
rahe,rathe
sb,sub
slots,sots
bta,bota
raha,rah
tak,teak
kaise,kaiser
le,ule
mcd,mucid
goswami,swami
appreciated,appreciate
connections,connection
floors,floor
updated,update
updates,update
supposes,suppose
installed,uninstalled
years,year
shuld,should
arrears,arrear
planning,panning
created,ocreated
has,hasp
sharing,shearing
screenshot,screet
app,yapp
happened,happen
areas,area
patti,upattic
bsesdelhi,bedel
cmodelhi,model
pmoindia,poind
hr,her
karawal,kraal
nagar,nagara
delhi,Adelphi
yamuna,amunam
raining,training
gets,get
requesting,requestion
extn,sexton
pls,plus
online,onliness
minutes,minute
everytime,overtime
channels,channel
powercuts,percuss
complaints,complaint
looks,look
channa,hanna
upsc,upsuck
services,service
students,student
hardwork,headwork
preparing,unpreparing
abhi,pahi
mera,metra
aya,yaya
aur,waur
hee,whee
ap,yap
logo,logos
ki,ski
bypl,byplay
pta,pita
bimari,bimarine
subha,subhead
bje,be
dusre,dure
kaam,aam
ghante,hantle
jaisi,raisin
itna,vita
jhut,jut
bolte,bolter
gokal,goal
awaiting,waiting
noone,noon
arun,arzun
kumar,kumhar
oficial,official
bills,brills
jumpher,jumper
damaged,damage
accounts,account
numbers,number
baarish,barish
hogye,hoyle
kya,kyat
kl,kyl
aayegi,aegis
kitni,kit
guys,guy
adjusted,unadjusted
malfunctioned,malfunction
readings,reading
april,aril
reported,unreported
steps,step
regards,regard
unnikrishnan,unnourishing
approached,unapproached
shared,sharded
gamri,gamori
payments,payment
stat,stoat
dm,dum
cuz,suz
contacted,contracted
ms,mas
babitas,barbitos
visited,visite
called,scalled
means,mean
malfunctioning,malfunction
whatsapp,whats
required,require
mantenence,maintenance
yvr,yr
chauhan,chulan
rhi,hi
shabha,shamba
gujran,uran
yaha,yahan
gayi,gay
hui,huia
digiye,dingily
started,stated
lights,light
earlier,wearier
mosquitoes,mosquitoey
mobil,mobile
ambika,gambia
heard,sheard
houses,house
looked,unlooked
details,detail
relates,relate
paid,spaid
requested,unrequested
uploaded,unloaded
attested,unattested
email,remail
ramesh,ramsch
koyi,koi
kisi,kainsi
tarah,taraph
liya,liniya
gaya,gayal
bcc,bucca
lg,lug
ltd,lated
numer,numero
rs,ras
revised,revise
abye,bye
bhai,bhangi
mai,mani
pura,purga
krunga,kurung
btao,tao
kha,khat
corrections,correction
takes,take
aaj,aa
aaygi,kanagi
atishiaap,antship
parties,paries
expenses,expense
thanku,thank
edmc,edemic
inspections,inspection
bapa,bap
hardhyan,hardpan
kw,w
sanc,sanct
thn,thon
saddened,unsaddened
emargency,emergency
receiving,unreceiving
rupesh,rush
sharma,shama
rama,trama
invited,invite
failed,unfailed
necassary,necessary
powercut,overcut
informing,uninforming
apx,apex
metres,metretes
polls,poll
wires,wire
mtr,motor
using,usings
smthing,smithing
hppn,hippen
arre,arrie
itni,titi
garmi,garum
kyu,yus
kaat,kanat
yaar,yar
vo,vow
bhi,hi
ghanto,ganton
aati,arati
isliye,isle
bharte,barter
heated,hearted
phatak,pataka
chawri,chawer
applying,unapplying
shows,show
jan,jean
ganesh,nesh
blocks,block
awaited,waisted
software,potware
kam,klam
vidyut,viduity
gurudwara,gurdwara
bala,beala
places,place
harassing,harassingly
installing,instealing
officers,officer
asap,sap
cuts,cutis
earliest,earlet
feb,fe
msg,misgo
replayed,replay
september,September
krishna,trishna
ghonda,honda
plzz,palazzi
aaya,papaya
babarpur,bhabar
custmer,customer
ph,poh
kara,karma
detay,dietary
gundakardi,unawkward
hye,hyne
refunded,unrefunded
deducted,undeducted
adding,wadding
daryaganj,karagan
connetion,connection
upply,supply
withinh,within
charged,charge
teased,tease
https,tuts
completed,complected
having,shaving
exams,exam
wifi,wifie
vinod,vino
reliancepowe,reliance
ashu,ashur
gupta,gutta
bhajanpura,janua
lacking,slacking
aamaadmiparty,gemmiparity
documents,document
needed,needled
tpddl,toddle
coordination,ordination
teams,team
gtb,tub
chor,ichor
india,indicia
mumbai,umbra
maujpur,mapau
kari,kauri
thi,this
ghanta,ganta
employees,employee
je,joe
realated,related
respected,unrespected
plz,plaza
yadav,yad
mills,mill
safderjung,salfern
replying,unreplying
submitted,unsubmitted
wrnog,wrung
bil,boil
setisfy,satisfy
kab,knab
milega,midleg
apruval,arval
karegi,regin
jayda,Mayda
samye,same
pl,pul
apni,ani
marji,marli
jhute,jute
garibo,gariba
bhej,benj
kar,kyar
rishwat,riksha
magte,mate
bhikh,bikh
mangana,manganate
adhikari,shikari
baat,banat
ke,uke
opened,unopened
weeks,week
requests,request
rajinder,rander
cancelled,uncancelled
fabricated,fabricate
manipulated,manipulate
pooja,pooa
arora,aurora
avdash,dash
pd,pud
pragya,praya
kis,kist
aap,atap
dekha,lekha
lline,line
arjesh,afresh
asked,masked
dgm,dogma
aftrr,after
cleared,uncleared
jhuripur,thuribuler
meters,melters
buses,buss
wonthe,wonted
bimla,bimalar
subthe,suther
strictest,strictness
thre,throe
johripur,jodhpurs
videos,video
photographs,photograph
passed,passe
bhagirath,haratch
karke,karaoke
khon,kon
chuste,chute
janta,anta
khor,kor
deparment,department
hindu,hind
jyaada,jangada
karte,kartel
organisation,organization
offline,offaling
gt,gut
soo,soso
wn,wyn
sabhapur,shauri
electrici,electric
ty,tyt
pm,pom
gokapuri,okapi
november,November
aapdelhi,samadhi
tweets,tweet
papers,paper
mentioned,unmentioned
approch,approach
pe,poe
chale,chalet
mazaak,maza
says,stays
hogi,shogi
rejected,rejecter
mayur,mayor
trilokpuri,triplopia
hows,howso
dues,duces
anarkali,antalkali
recieved,relieved
faliure,failure
balbir,bali
shahdara,subahdar
seems,seem
planned,unplanned
complt,complot
reconnecting,reconnection
dt,dot
located,locate
pictures,picture
ok,yok
responding,unresponding
appliances,appliance
bp,bop
sunita,unital
complaining,uncomplaining
generated,generate
itne,witney
deen,deben
hogaye,hoga
magar,agar
khilaf,khilat
kahi,kashi
samil,samiel
messaged,message
holi,tholi
bunches,buncher
internet,internment
cables,cable
subhash,subcash
naveen,veen
kirti,kiri
mandir,randir
ensured,ensure
deputed,depute
premises,premiss
cayagery,cagey
changed,change
cleard,clear
kondly,kindly
ud,wud
mavi,mavis
dayalpur,dayal
changing,hanging
prem,proem
immidatly,immediately
activities,adjectivitis
rampal,ramal
bhola,bola
nath,snath
naagr,navar
marg,marge
metro,mero
parshvanath,paragnath
chd,chid
refused,refuse
discontinued,discontinue
kia,okia
lia,lira
bheje,bejel
bhar,bhara
dia,diva
aata,waiata
sabse,sabe
hota,Lhota
acha,achar
gareeb,gree
haye,hayey
lagega,laggar
radhey,ahey
puri,piuri
reding,reeding
tracking,tracing
website,webster
jis,is
karna,kana
kardeneg,reneg
jayega,yerga
leta,Fleta
mantence,maintenance
reliancegroup,reliance
anilambani,calamansi
beriwali,biserial
sitaram,stram
bazar,bazaar
sharda,shard
jyoti,yot
loni,loanin
manish,meanish
dated,doated
http,hatt
rq,r
allready,already
filed,filled
declutter,clutter
poles,pole
twits,twit
neeraj,neer
customers,customer
hmari,marli
gli,goli
ek,lek
khmbe,humble
baki,bakli
khambon,ambon
inspectors,inspector
photos,photo
rights,right
barasht,bardash
depertment,deportment
amiro,Ramiro
suply,supply
names,name
aapki,napkin
kitne,kite
mahine,machine
gya,ya
jyada,yad
gye,gyve
ev,rev
nt,nut
gettin,getting
passd,pass
inspite,inspire
fulfilling,unfulfilling
formalities,foralite
shukla,shul
cmd,mud
lxmi,xi
ngr,nigre
fr,fur
bt,but
didint,didnt
manages,manage
issues,issue
laptop,atop
expecting,unexpecting
supplied,unsupplied
ashok,asok
kisine,sine
kiya,kiyas
ab,wab
toh,tosh
yeh,yeth
unnessesary,unnecessary
cercling,circling
harrasment,harassment
upload,uproad
patparganj,ptarmigan
saraswati,sarcastic
kunj,skun
pichle,pinochle
mukesh,mush
scheduled,schedule
outages,outage
happens,happen
reent,revent
seema,seem
malhotra,matra
dilshad,distad
kal,skal
galati,galactic
zyada,zad
chuke,huke
anand,ananda
parbat,parate
jams,jam
malba,mala
appointments,appointment
comming,coming
missed,unmissed
calls,callus
laxmi,lamin
reporting,reportingly
heigher,higher
authorities,unauthoritied
themself,themsel
mr,mor
arif,sarif
appointed,appointe
benefits,benefit
knoting,knotting
touts,tuts
tempering,untempering
knows,know
whu,whuz
inka,rinka
ed,zed
padni,panic
chahiye,chaise
amiruddin,amidin
excutive,executive
yrr,yirr
nand,nandu
nagri,naric
divion,division
electrity,electricity
sliping,slipping
hamare,hamate
desh,deash
khori,kori
goverment,government
neta,nenta
huwe,hue
gokalpuri,okapi
cn,con
sumit,sumpit
hats,whats
maine,marine
chori,choric
aapne,anapnea
marzi,mazic
laga,plaga
diya,Ediya
yehi,yeth
kahta,kaha
hu,phu
mujhse,muse
har,whar
aapka,waapa
lekar,lear
jata,jatha
looting,mooting
deposited,undeposited
repeating,retreating
answering,unanswering
payers,payer
pwd,wud
inr,inro
levied,unlevied
baad,batad
paa,pata
jimmedar,immedial
kaa,kava
excavated,excavate
allotted,unallotted
officials,official
conferences,conference
khud,khu
sikhate,skate
thik,think
ashoknagar,shargar
dda,adda
neighbors,neighbor
promised,promise
radhavihar,radiophare
mandoli,mandolin
served,serve
karne,kairine
aaegi,aegis
jaanch,ahaunch
degi,deg
jaach,ach
infrom,inform
castomer,customer
kaushik,kashi
seelampur,slamp
gandhi,sandhi
shanti,Ashanti
niketan,netman
mahino,machin
illigal,milligal
bina,binna
rti,ti
db,dub
mins,minus
radhe,trade
shyam,sham
cases,cass
gd,gud
ahmedabad,ahead
metre,mete
gujarat,guara
vij,vijao
problems,problem
imform,rimiform
etc,etch
vide,video
oclnr,ocular
enf,en
noc,nock
req,re
askon,wakon
whattap,wattape
yesi,yes
dekho,dekko
encroached,unencroached
rajgarh,rajah
satsang,satang
including,inconcluding
mamala,amala
karmachaari,aracari
khane,khan
metar,mettar
awedan,wedana
nirast,nast
kr,kra
churiwalan,curial
hamara,wamara
bijli,bilio
gaye,gay
jabki,jabia
bcz,coz
dass,dassy
balaji,balai
rasoi,prasoid
resturant,restaurant
strings,string
addbhola,abolla
thankyou,thank
rahi,rah
lalita,balita
followed,unfollowed
procedures,procedure
sharada,sparada
addressal,address
sangyaan,shangan
len,lien
adj,hadj
amita,amrita
pleased,please
restored,restore
mv,v
ther,toher
deependra,depender
noniyal,nonyl
database,catabases
bothering,unbothering
accepting,acception
estimated,estimate
shakarpur,sharper
naiwalan,narwhalian
saare,sare
boxes,boxer
guche,gauche
lage,plage
karn,kan
jhuk,junk
kark,knark
karwaye,karwar
nore,snore
continuing,continuingly
chimni,chinin
rao,urao
bg,bug
ballimaran,ballan
chandni,chandi
info,inform
threatning,threatening
tyoe,yoe
reinstalling,reinstall
aadil,avail
rehman,reman
bhuwan,bulwand
juneja,june
mannybar,manny
pichhale,pitchhole
karmchaari,armchair
trka,tra
formultis,formulist
nahin,nain
acharya,chaya
helpline,whelpling
approved,approve
raho,rho
showers,shower
ziauddin,audion
mustafabad,statfarad
vidhan,vindhyan
sabha,stambha
mukund,mund
nager,onager
manda,mandua
aare,aware
satat,satiate
jon,join
kahan,khan
raat,rabat
bc,bac
gayab,guayabo
krte,kirtle
friday,friary
sms,smush
nbr,unbar
consumers,consumer
paach,panache
trans,transom
farmar,farmyard
kitna,kina
tata,tatta
powers,power
highmast,highmost
pulia,puli
bharti,hartin
approx,pappox
contacts,contact
picking,pricking
revocate,evocate
kun,skun
prblm,problem
outs,out
allowing,tallowing
verified,unverified
escalated,escalate
quickest,quickset
delayed,undelayed
elcv,velic
plm,plum
functioning,overfunctioning
jamadar,jemadar
pahari,Pahari
dhiraj,daira
caused,camused
repaired,unrepaired
talks,talk
maintainance,maintenance
paharganj,pargana
ramniwas,ramanas
ramazan,Aramaean
neglecting,neglectingly
duties,dutied
contractors,contractor
cvo,cravo
residing,siding
munesh,unmesh
kamla,kamala
emploies,employless
maked,masked
hasrasment,harassment
favour,flavour
preet,preset
govind,groined
nd,nod
suggested,unsuggested
persons,person
inconveniences,inconvenience
chutiye,cutie
banaya,banya
nai,ngai
ayi,ayin
callin,calling
caa,chaa
cm,cwm
lig,ling
flats,flatus
prasad,rasa
dayanand,dhyana
mandawali,mandala
kuch,kutcha
karra,sarra
drips,drip
promises,promise
damnit,damn
discussed,undiscussed
fastly,fatly
increased,increase
ajaymahawarbjp,jayhawker
adress,adpress
kartar,katar
pusta,sputa
chg,chug
reqno,requin
cycles,cycle
kids,skid
schools,school
docs,dos
merged,merge
pdf,pud
february,February
mro,moro
mb,mob
vy,ivy
pr,pyr
samay,sinamay
ankur,anury
nopower,nonpower
bairegeting,pargeting
honble,hobble
plse,pulse
rajesh,Rajesh
gaurav,garava
matlab,mala
shamil,shamir
islia,ilia
seelamapur,seamark
badi,bandi
machino,machin
hua,hura
panchwati,panchway
purchased,purchase
baithe,bathe
ghar,gar
jakar,jalkar
paiso,piso
ughai,ghazi
pareshan,Marehan
paise,praise
milne,milner
unki,unkin
zabardasti,czardas
dete,deter
messages,message
explained,unexplained
verifying,terrifying
replies,replier
kapil,kail
jwala,jalap
belongs,belong
agents,agent
heay,heavy
performing,unperforming
recovry,recovery
ladke,lake
ilake,inlake
jate,ate
mangte,mange
sarver,starver
mohalle,molle
rahta,rata
kripiya,ripa
uchit,tuchit
karwai,karwar
kare,are
batashan,bataan
khari,khatri
baoli,bali
reorganise,reorganize
mishappening,mishappen
waited,waisted
circulated,circulate
anydesk,Ganymedes
delhipolice,epipolic
hmoindia,honda
allowed,hallowed
govt,got
cctv,coactive
cameras,camera
thatwe,thawer
attaching,watching
winters,winter
devices,device
solved,solvend
lagta,lata
sr,sur
shops,shop
effecting,affecting
beadonpura,endopleura
words,word
mansarover,mangrove
kv,v
laxminagar,laminar
bengali,bengaline
sinch,skinch
rakha,rakh
angad,tanglad
bagga,baga
associates,associate
amarjiwan,amarin
aapkagopalrai,salpingopalatine
vishwas,visa
shahadra,shahzada
kiryavahi,avahi
pmo,po
cmo,mo
camplant,compliant
daal,dayal
likh,lith
ja,jay
hun,whun
dekhte,deter
upar,upbar
hadh,hah
residents,resident
actions,action
mlamohansinghbisht,mammonitish
guyz,guz
majak,manjak
bana,banya
apne,apnea
karliya,kalipaya
firse,fise
responded,responde
shikayato,shikara
gambhirta,gambit
lenge,elenge
ina,vina
quikpay,quirky
satus,status
frud,fraud
beed,breed
debited,debit
hii,heii
mene,mesne
applications,application
sunai,tsunami
tk,tck
besis,besides
bhupendra,upend
atr,natr
subh,subah
kb,kob
paas,patas
lagi,langi
aag,waag
varun,vaunt
shadipur,shadbird
powe,power
rohit,roit
namaskar,askar
krne,krone
fayeda,frayed
localty,locality
ji,uji
preshan,presharpen
karege,karree
walay,waylay
chakkar,chakar
fayada,faraday
karwao,karwar
thursday,Thursday
isjust,misadjust
anyupdate,update
buplicate,duplicate
talked,stalked
rcvd,ruvid
galat,galant
karan,kran
bata,beata
cancle,caruncle
shikayat,shikara
prtadit,preadmit
detehin,deathin
dekhen,depthen
congratulations,congratulation
citizens,citizen
mdi,mi
deducting,deduction
santiontined,santonin
writtern,writter
leads,lead
finacial,financial
santioned,satined
eariest,nearest
chettanya,chetty
bhardwaj,bhara
issu,issue
reffer,reoffer
ncan,Incan
crn,curn
moto,motto
systrm,system
dss,doss
mett,met
sandhu,sadhu
respoding,unresponding
apna,apnea
aram,param
pleas,please
somthing,something
centre,centare
ppl,pupil
hv,v
tilted,stilted
uske,use
aaye,aye
unhone,unhoned
rishvat,riksha
maang,marang
unhe,unhex
mna,myna
kirpya,skirp
krke,skrike
iska,visa
nikale,nickle
vrna,varna
platforms,platform
nm,nim
leke,lek
images,impages
fyi,fi
cannection,annection
apke,ape
deficiencies,deficience
aai,ai
tabi,tabid
ashoka,asoka
chowgule,cowle
piller,spiller
pehle,phyle
karywahi,karwar
everday,everyday
badti,batik
jhukh,huh
aane,awane
jaane,jane
satish,slatish
karti,karstic
unmute,unmuted
mic,mico
haal,hamal
wawe,waw
phir,pir
roj,wro
njare,snare
dekhne,dene
milenge,mileage
haqiqat,habitat
chote,choate
hata,whata
ker,sker
taki,takin
dukandaro,danda
preshani,preship
hoo,whoo
enhaced,enhanced
karoon,kroon
phele,hele
chuka,chukar
karon,karyon
lagane,lagan
opted,adopted
acknowledgement,knowledgement
operatring,operating
kishore,inshore
busiest,buist
rohtak,rota
baje,bae
baj,ba
santoshjanak,lanthana
linemen,lineament
exploiting,exploring
krpya,pya
initiating,initiation
infact,infract
pandav,panda
nbt,unbit
co,cro
nection,invection
existing,unexisting
rejecting,rejectingly
tweeted,tweeter
rew,grew
attachments,attachment
metere,meter
dameged,ameed
constructed,unconstructed
repairing,despairing
escalation,scalation
helllo,hello
neelam,neem
aggarwal,agarwal
sadar,sadr
ihad,jihad
bm,bum
esi,desi
jhilmil,hill
pics,pic
seriua,serial
jn,n
authorised,authorized
reportin,reportion
wants,want
rrjected,corrected
vasundhara,Vasundhara
bhagwan,chawan
mahavir,mahar
rk,irk
balajirasoi,balatronic
ctc,octic
madhur,maduro
staying,saying
krana,kerana
baljeet,baylet
loans,loan
units,unit
things,thing
vasundhra,Vasundhara
rajdhani,raphania
digged,undigged
vehicles,vehicle
puneet,unmeet
senger,losenger
utilised,utilize
chj,chaja
upi,Tupi
trees,tree
greetings,greeting
pahar,paha
ganj,ganja
longggg,long
chuna,chunga
mandi,mandil
brij,buri
bhushan,bushland
banke,banket
behari,mehari
deleted,delete
treet,trevet
appartment,apartment
engineers,engineer
coordinate,ordinate
oberoishelly,operosely
sanjayazadsln,sannyasin
soniya,sotnia
processed,unprocessed
copies,copis
karaval,kraal
rohtash,rehash
shahdra,shadrach
resumed,resume
pulkit,pulpit
jain,japing
occured,occur
escalating,scalation
humans,human
noticed,notice
bseslineman,lineman
operators,operator
roles,role
replaying,repaying
recieve,reachieve
transfarmar,transformator
lge,luge
plg,plug
arvind,Marvin
kejariwal,rearisal
dhuyan,dhyana
kejriwal,serial
ghr,guhr
lga,alga
jb,job
sara,usara
bol,obol
aao,aa
kijiye,kieye
disrupted,undisrupted
bilkul,bill
meri,merit
dijiye,dixie
chaiye,chaise
contains,contain
saturday,Saturday
karay,karaya
aayi,ayin
drame,dramme
includes,incudes
shifted,sifted
oay,oaty
wtf,wut
rha,rhea
rechecked,recheck
dates,date
okay,tokay
causes,cause
casualties,casualist
asking,gasking
csll,sull
haras,harass
hiii,iiwi
ramadan,ramada
frustrating,frustration
phn,phon
declining,undeclining
electrictiy,electricity
attachmaent,attachment
dcpneastdelhi,peaselike
essencial,essential
thanking,unthanking
alerts,alert
sandeep,sandpeep
xyz,yez
bhaskar,askar
multani,Multani
dhanda,danda
pahunchi,paunch
kayee,payee
amps,wampus
staaf,taraf
dwaara,wamara
bhejtey,hetaery
rehe,rethe
jwaab,jawab
haar,hazard
puchaa,chaa
khaa,khaja
dipak,dispark
samant,saman
jese,jester
unho,unhot
iqbal,iba
ashwani,sasani
saari,safari
maal,maral
pahunch,paunch
gyaa,yaya
gyee,yee
khel,kechel
pahunchaa,panchama
aataa,taa
dwara,dwarf
koyee,yee
pareshaani,parabanic
huee,hue
binaa,bisnaga
kyo,kayo
kee,skee
nivedan,vedana
kaarwahi,kakawahie
honee,hone
rwa,wa
sushil,slushily
oder,order
bs,bus
prb,prob
electeiciru,electicism
registred,registered
govermenr,government
explaint,explant
iam,imam
mom,momo
ltgovdelhi,loveling
atleast,least
dallu,dally
bhejdo,bedot
shakuntala,santal
devi,devil
thru,thruv
thankingyou,unthanking
transfarmer,transformer
manybar,panyar
sangyan,shangan
outsourcing,outscouring
karmchaariyon,archarios
karwaya,karaya
dwab,wab
bechare,bechase
kuchh,kutcha
sakte,sate
pds,pudsy
karwa,karwar
sanju,sajou
ghur,gur
krao,kra
arey,ary
apr,aper
kre,kore
kafi,kafiz
der,dyer
ayegi,aegis
hel,herl
anubhav,anba
hlo,halo
devision,revision
waived,waved
upto,upo
suraj,sura
aman,zaman
motors,motor
nasa,nasal
pissed,pissabed
yash,yas
wajh,wah
bhot,hot
dikkat,ikat
isko,iso
rehte,retie
khatra,khatri
rehta,retia
tahirpur,tarpum
adhaar,adhaka
updating,dating
creating,uncreating
yumuna,munga
tv,tav
chl,chol
batayga,bantayan
shsre,shure
kate,skate
dur,duro
gai,ngai
balki,balk
namaste,unmaster
shri,shrip
bsf,bus
dalne,dale
gaddhon,gladdon
jiske,wisket
ine,wine
pani,panic
machhar,machar
paida,spaid
kno,know
gangotri,angiotribe
revoked,revoke
caring,carving
facilities,facilitative
resolving,unresolving
apki,napkin
tarf,tharf
bataya,bantayan
raju,raj
krdiya,riyal
banane,banyan
executives,executive
misbehaving,misbehavior
demanded,undemanded
padh,pah
hardcopy,hardy
arrived,arrive
sales,scales
vedio,vedro
provides,provide
registering,roistering
nidhi,nidi
sinha,sinh
radha,rada
concluded,conclude
proceedings,proceeding
meetings,meeting
surrendered,unsurrendered
hari,harbi
kishan,kishon
drm,drum
records,record
presented,unpresented
aforementioned,forementioned
claims,claim
remained,remainer
held,sheld
follows,follow
acknowledgment,unacknowledgment
enclosing,eclosion
angar,sangar
swaroop,swoop
questioning,unquestioning
conducting,conducing
crashing,rashing
gautam,gaut
january,annuary
delhipwd,didelphid
narwana,sarwan
patpadganj,postpagan
stones,stone
constructe,constructer
cleaned,uncleaned
reasons,reason
techniccally,technically
fesible,feasible
panchal,paschal
notbhaving,nothing
asaf,ashraf
ali,yali
stands,stand
bothered,unbothered
sins,sinus
typing,tying
kishor,kishon
gtr,gotra
nealry,neatly
humari,humeri
maintained,unmaintained
domastic,dokimastic
benifit,benefit
prayag,praya
unupdated,undated
errors,error
kharab,kharua
uski,ski
sunday,surnay
chek,cheki
expected,unexpected
drugs,drug
fridge,ridge
moved,move
lgate,ligate
coustomer,customer
sunte,sunt
hona,honda
kalyanpuri,allanturic
coventure,coadventure
narendramodi,Narendra
incometaxindia,oinomania
rashtrapatibhvn,castration
otp,yot
addressed,unaddressed
latak,lata
checking,chucking
punjab,puna
mei,meio
uska,tuskar
bacche,bache
macchharo,machar
aatank,apatan
jas,jass
aapko,ako
hote,shote
vese,verse
pkwer,puker
arya,Carya
persists,persist
jagatpuri,jagat
unnessasary,unnecessary
lies,plies
replaced,replace
treated,teated
approving,unapproving
mtnl,matinal
mtnlofficial,unofficial
mtnldelhi,mandelic
thanx,than
hardayal,arrayal
glitch,litch
october,October
delhicomplaint,recomplaint
gautamgambhir,Outagami
officialdmrc,officialdom
mis,mist
contacting,counteracting
im,wim
neighbour,neighbor
anytime,haytime
turkman,turfman
batti,blatti
canceled,chanceled
solving,soiling
zaidi,abidi
zahid,aphid
ahmad,ahmadi
kashmere,cashmere
trilok,trillo
vidhyarthi,dysarthric
dugged,rugged
letting,lettering
jamm,jammy
kanhiya,baniya
plese,please
odar,oda
dimand,imband
intervals,interval
ymuna,munga
shaheen,sheen
afroz,froze
pratap,pratal
denied,undenied
uninstall,uninstalled
kwn,kwan
cano,canto
equipments,equipment
rajiv,Rajiv
replied,unreplied
fluctuating,unfluctuating
rajeev,Rajeev
questions,question
mandoly,mandola
wh,why
thnk,think
clicked,clocked
flactuate,fluctuate
challan,hallan
occurs,occur
bcoz,coz
frustrated,frustrate
cas,cast
escalations,scalation
ups,upas
graphed,graped
deemed,undeemed
url,ural
dins,dinus
amounting,mounting
dooma,doom
jana,janua
compalsary,compulsatory
hy,why
ritika,rita
garhi,garth
mendu,menu
orders,order
harrassed,arrased
sdm,sedum
youhave,youve
rules,rule
intentions,intention
ashutosh,stosh
iind,inwind
properties,propertied
energisation,enregistration
enclosed,enclose
tagging,tugging
gopal,opal
inlegally,unlegally
netaji,neti
kinare,kintar
dala,dalar
jisse,wisse
seva,sheva
sadan,sandan
af,oaf
tarang,tauranga
apartments,apartment
societies,societist
ip,zip
fans,fains
levels,level
culprits,culprit
enhancment,enhancement
requeat,request
bhaai,bhava
jaa,jara
dikkt,dit
aarhi,avahi
dekh,desk
chuki,chunk
muje,mutsje
baata,balata
unchepar,unheart
creates,create
milan,mila
yahi,yah
issuehai,issue
breathinf,breathing
khagamhouga,agamous
nirman,firman
gaon,gazon
counted,uncounted
karigar,karwar
bijali,bija
daftar,datary
vahan,varahan
dhyan,dhyana
sakta,satan
pkt,upknit
rosd,rosed
legi,legit
insalled,uninstalled
gulishta,gullish
parvat,parate
elake,lake
mcddelhi,didelphid
saifuddin,studding
youi,you
reverts,revert
