Unknown_Words,Closest_Match
connecting,connection
responce,response
birefication,reification
unfavourable,unfavorable
circumstances,circumstance
anuj,anus
ghntey,gahnite
kaarvayi,kakarali
dharmender,chairmender
khanna,hanna
hdfc,rhodic
electorcity,electricity
payal,pyal
mahajan,maharani
gm,gym
khureji,kuei
khas,khass
noora,norma
contacg,contact
regretted,unregretted
worng,worn
karwal,karwar
stoped,stopped
kese,ketose
konsa,kona
tf,turf
thal,ethal
helo,ohelo
knw,know
ajj,ajaja
geeta,geta
krn,kran
malda,mala
airtel,artel
xtream,stream
fibre,fire
xelhi,Delhi
shocked,unshocked
bawari,bawarchi
reduces,reduce
mnts,mantis
electricty,electricity
isnot,snot
became,bename
scamming,shamming
vikas,vis
airconditioners,conditioner
paryatan,partan
recorded,unrecorded
fluctuations,fluctuation
dips,dimps
proprty,property
prooty,rooty
akhikesh,sakieh
tryung,trying
aproach,approach
ebill,rebill
watsapp,watap
jai,jati
prakash,Prakash
kardam,karamu
faram,farm
gyi,gyri
kucha,kutcha
lal,leal
troubled,trouble
dena,denda
teliwara,tiara
experiencing,experience
durgapuri,urari
gandi,nandi
wajah,wawah
soye,sye
hamari,chamar
karega,karela
conditions,condition
nopowersupply,oversupply
download,downland
losses,lossless
akshat,shat
gadodia,gaddi
complained,uncomplained
chains,chais
vandana,avadana
comunicated,communicate
aply,yaply
kyi,kiyi
saal,salal
makan,markman
karya,karaya
signup,signum
kondli,sondeli
getring,getting
mandawli,mandala
pgms,sphygmus
consunred,tonsured
airconditioner,conditioner
stablisers,establisher
areaa,area
nps,snaps
pratapnagar,tanager
prompting,romping
khasra,kharua
usse,use
iski,ski
karaye,karaya
dusra,dura
aapse,apse
anurodh,neuroid
samadhan,samadh
jaye,jay
jiski,ski
deatils,datil
kripa,ripa
karen,paren
collapsing,lapsing
timeline,timeliine
jaaye,jay
kharch,karch
karta,kwarta
mitar,titar
lawana,lawman
aashok,asok
everynight,overnight
whatss,whats
complant,compliant
sussidy,subsidy
limits,limit
newspape,newspaper
manju,manus
deppt,epopt
currupt,corrupt
unauthorised,unauthorized
constructions,construction
shankar,shanker
encourages,encourage
holds,hold
gambhir,gambier
mp,ump
unwrkg,unwork
blk,bulk
dr,dry
sahil,sail
sep,swep
consumed,consume
grandparents,grandparent
certificates,certificate
uncles,uncle
successors,successor
issued,tissued
nocs,nous
harassed,unharassed
hanged,hange
ishaan,shatan
tyagi,yagi
witnessed,unwitnessed
monday,moundy
iii,iiwi
nos,nous
summers,summer
shet,sheth
moni,mon
brhampuri,thamuria
markets,market
jhandewalan,chandala
varma,vara
makhan,makhzan
vaishno,vanish
lekin,pekin
javab,jawab
shivaji,siva
nehru,nether
hmr,humor
lait,slait
rakhi,raki
yh,yuh
karkardooma,darkroom
wanted,waned
fricking,tricking
kitani,Pakistani
honi,dhoni
metrs,metrist
ft,oft
gf,gif
ff,off
lanter,planter
karib,kauri
chalo,chalon
maan,macan
lagege,lagger
localities,calvities
others,other
vishal,visual
offices,office
uthenge,Ruthene
pleasse,please
shahadara,shahzada
components,component
unservisable,unservable
tukhmirpur,tururi
choudhary,hordary
futa,futwa
budh,bud
alag,lag
kamal,kambal
gates,gate
cse,cise
rajendra,Rajendra
rajasthan,Rajasthani
ac,zac
genrate,generate
reson,reason
pawor,pawnor
sadat,adat
extention,externation
attended,unattended
vijay,vijao
garhwali,Garhwali
mohalla,mehalla
baljit,balita
opting,voting
gokul,jokul
noida,noria
hiw,hi
ekectricity,electricity
apka,apa
iss,wiss
sudhar,sudary
jrurt,jurat
rukhsana,ruana
arguing,unarguing
uss,wuss
karni,arni
wala,ala
aisa,paisa
sahab,shab
cares,caries
howcome,owercome
instaled,unstaled
purposes,purpose
efforts,effort
visits,visit
satyendra,stend
goyal,goal
timeframe,reframe
initiated,initiate
prolonged,prolonge
delays,delay
addressing,dressing
plans,plan
corect,correct
adhar,adharma
reffernce,reference
nx,nix
gurudawara,gurdwara
temperatures,temperature
wating,wasting
tmp,tymp
satesh,sate
paymemt,payment
uest,quest
sonu,sou
recommendations,recommendation
showed,unshowed
attachmen,attachment
nill,nil
mazak,maza
chali,chal
uper,upper
maad,mad
denga,dreng
chand,chandu
khatam,khat
gaean,gean
jayada,jangada
jaldi,aldim
ghane,gane
rhna,rohuna
muskul,musk
minut,minute
beete,beetle
khuch,hutch
dino,dingo
samasya,samara
behad,behead
bhisan,hisn
jujh,juju
ambedkar,amber
backups,backup
fornt,forint
pincode,pinacone
roz,rozum
bhagane,boagane
aaram,anagram
bekar,bear
aesi,aes
compent,component
ragiter,rhagite
complent,compliment
costomer,customer
arhi,arshin
complene,complete
aesa,aes
kesa,kea
bachhe,bache
phonepesupport,prosupport
chng,ching
nasir,nasi
mohd,mothed
nesssary,necessary
mahalaxmi,thalami
children,childe
elders,elder
jayveer,javer
biharipur,binarium
callcenter,challenger
chander,chandler
noelectricity,electricity
bhaage,havage
dheere,adhere
khtm,khot
saale,sale
macchar,machar
taak,tanak
chuppe,cupper
piii,pipiri
piiii,piripiri
horhi,houri
bh,bah
katora,tora
observed,observe
saboli,soli
arambagh,Karabagh
effected,uneffected
kiye,kieye
bna,buna
rkha,riksha
haalat,halt
rkhi,rukh
jaati,jati
suchana,speuchan
agendas,agenda
fulfilled,unfulfilled
youtube,uptube
anjam,anam
isi,sisi
retweet,tweet
prashasan,rakshasa
ifc,if
gazipur,gazi
bheeshan,sheepshank
bhagirathi,hagiographic
cyt,scyt
vastav,vast
kastdayi,astay
madhu,madhuca
continues,continue
oclcok,oclock
minimums,minimus
ypl,yaply
icici,ictic
claiming,unclaiming
emailed,mailed
recvd,received
infront,bifront
kanti,anti
loops,loop
bhrastachar,bhaiachari
eco,echo
nasim,nasi
responsfull,reposefully
sirf,sir
milte,milter
agcr,agre
acp,acapu
cyber,cuber
kotwali,kotwal
darayaganj,karagan
users,user
kyon,yon
manoj,mano
karkari,karri
fixtures,fixture
badhao,baho
tumhe,tume
btayenge,bange
bsea,sea
batha,bath
aprox,proxy
looteribses,lootie
loc,loco
activated,activate
rainey,raviney
ii,oii
bolna,bola
padega,pega
mrng,morong
ofc,of
machro,macro
katwata,kwarta
granted,ungranted
banwana,banana
pereshan,prefreshman
ambani,amban
harrass,harass
kalyan,kalian
jalebi,halebi
mayfair,Mayfair
opp,ropp
timea,time
wb,wob
peper,pepper
nav,navy
adarsh,dash
rains,brains
kabir,abir
rns,turns
altognamaskar,palatonasal
gopala,opal
rajindra,raindrop
accidents,accident
gadgets,gadget
derc,deric
dept,depth
earthing,earthling
joginder,joinder
ravikant,ravissant
addhar,adda
ro,wro
hudsonlane,hudsonite
studies,studier
anjali,anal
disconnecting,disconnection
uses,use
tks,turkis
pissing,Nipissing
situations,situation
ceo,cero
barua,baru
stairs,stair
anuvrt,snurt
patt,patty
released,release
bacha,bach
exqutive,exudative
usne,usnea
reminding,remindingly
pipelines,pipeline
households,household
lagbhag,agha
lok,louk
durga,durgan
actio,action
becuse,becurse
sufering,suffering
electiricity,electricity
yha,ya
kyuki,kukui
smtp,sump
rawest,awest
ee,zee
charan,characin
singj,sing
dipartment,dispartment
verry,very
samajh,samaj
kaun,katun
batane,butane
kasht,kashi
iske,wisket
hno,no
dono,donor
purna,purana
naya,nay
uploading,loading
facilty,facility
prder,prudery
homes,home
khamba,shamba
chalega,changa
ambica,iambic
nihal,nival
foxed,foxer
rised,raised
braking,breaking
ivr,wiver
ths,thus
extrm,extreme
nyt,yot
frm,from
ndmc,endemic
pwr,power
btr,butyr
shld,sheld
kva,kiva
ruiwali,rupial
bundey,bundy
giri,girlie
bahana,bahan
jao,jato
seniors,senior
july,justly
reduse,reuse
installs,install
behaves,behave
aapbabarpur,anapanapa
kamaljeet,tamale
mukhutyswarup,muktar
ajeet,jet
prooerly,properly
fees,feces
abusing,causing
lm,olm
compiled,compile
tubelight,belight
named,name
reinspected,reinspect
captured,capture
electrcity,electricity
yammna,amma
dramam,dramm
played,splayed
punished,unpunished
cont,count
bankhandi,backhand
manualy,manually
reverting,unreverting
ghnte,gahnite
bete,betel
differences,difference
resoration,restoration
joshicolony,colony
faiz,friz
bhaiya,baniya
incurred,inured
putting,pouting
jeetbandhan,tandan
seemed,semeed
annoyed,unannoyed
restoring,restring
bsesyamuna,sesma
starts,starets
krna,krona
djb,job
brijpuri,triurid
cutt,cutty
yammuna,amunam
lctn,lection
conction,coction
eclecticity,electricity
puste,pustule
ncr,nacry
beouse,bedouse
sunne,sunn
milti,milt
evn,even
piche,pinche
streetlight,streetlet
tightened,tightener
screws,screw
sweets,sweet
gnit,nit
subji,suji
surprised,surprise
elec,elect
alloted,tallote
prson,prison
wl,owl
lanes,lances
darya,dryas
yrh,yr
ignored,ignore
edm,em
concerns,concern
chandani,chandi
kabtak,kaitaka
knocked,unknocked
escaped,escape
kyun,kyaung
pareshaan,Marehan
rehne,reshine
deewar,deer
karant,karate
ane,wane
dnt,dunt
hve,hove
occupied,unoccupied
majnu,manus
tilla,till
upadhyay,payday
playing,plying
emergencytechnical,pretechnical
labours,labour
chating,cheating
yhey,hey
vslid,slid
submitting,unsubmitting
sewa,shewa
adv,ad
mohit,moit
grmi,germin
pas,upas
sarvice,service
clarified,unclarified
mentioning,meninting
penalized,penalize
wrkg,wrig
nktn,nekton
vhr,vihara
rbl,ruble
bikaner,bilander
pwddelhi,didelphid
huya,hura
programmed,programmer
explaination,explanation
anser,answer
rupees,rupee
disrupting,disruption
kiyo,iyo
requirements,requirement
gst,gust
objections,objection
bataiye,boatie
assurances,assurance
behaiver,beshiver
roodly,rootedly
batamiz,bantamize
moments,moment
dallupura,dhaura
roopram,kromogram
unis,funis
jisme,disme
garmia,gariba
vipul,pul
maggo,maggot
darknes,darkness
mantola,mandola
ihave,have
addresses,addresser
everymonth,vermouth
heplline,helicline
corrcect,correct
deinied,defined
meea,melena
nce,once
applicants,applicant
pcs,specs
streetlights,starlights
cgrfbypl,carbyl
providers,provider
incompetentpoliticians,metapolitician
aj,taj
ibalso,also
circles,circle
hamaare,hamate
kumari,kumhar
peekay,peek
kripya,ripa
btane,butane
kasth,kath
krenge,kreng
mnth,month
kum,kulm
ata,rata
bdh,bodhi
zyda,zyga
sath,swath
bdha,dha
cmg,mug
rahul,rashful
gps,gyps
servics,sterics
demad,dermad
contct,contect
samas,tamas
raod,rod
jeet,jet
rasing,rasping
guiding,guising
username,undername
mansarovar,samovar
divison,division
ones,nones
ext,vext
shani,shan
ratan,rattan
kaseru,kasher
walan,alan
women,omen
hime,chime
rojana,yojana
eski,ski
sikayat,skat
aapke,awake
chupa,chupak
farak,yarak
padta,pata
espar,spar
sahi,spahi
karao,kareao
idhar,Sridhar
manipur,manipular
dimag,imago
kati,kat
sharm,sham
bech,bench
agle,eagle
chunav,chunga
dikhae,dikage
jaengi,tangi
aukat,Bukat
mishra,misura
humne,humane
naye,nye
andhere,adhere
equipped,equiped
ashish,hashish
nov,nova
families,familist
karway,karwar
cf,f
arw,arow
everydays,everyday
calculations,calculation
seconds,second
timings,timing
continuos,continuous
rd,urd
usmanpur,sandspur
piyushgoyaloffc,
isme,disme
lagwaye,logway
birjees,bireme
katra,katurai
budhan,dhan
rai,rani
tuesday,Tuesday
inches,riches
narender,render
mittal,remittal
advertised,advertise
rec,rect
registery,registry
instruments,instrument
respon,respond
chhajjupur,cajuput
ranjeet,trajet
garima,gariba
aruna,alruna
tym,tymp
krlo,krelos
dalte,date
jaegi,jagir
mtlb,motel
jaan,japan
modi,moudie
krva,kra
bhayankar,bhandar
upr,ur
zindagi,zamindari
aage,adage
badho,baho
duniya,duny
bohot,boot
shitty,slitty
mints,mint
fromb,from
akhil,vakil
abused,abuse
tere,twere
khada,khanda
thodi,tholi
rahunga,arapunga
deta,detax
judwata,diwata
rahiyo,rhino
warna,warn
karde,kande
keeps,keep
mcb,mob
fhir,fir
jokes,joke
quries,quiles
alls,all
fools,fool
published,unpublished
tirpal,tropal
thekedar,theeker
jewellers,jewelless
peoples,people
padhnge,padge
krhe,rhe
dms,dooms
bada,banda
num,snum
beena,bena
khajuri,khajur
khajoori,haori
johri,joshi
hoyr,hoy
powercults,powerful
padhaai,pradhana
tumhare,tulare
impacting,impaction
prabhat,rabat
yrs,yr
continously,continuously
otherswise,otherwise
tereko,terek
sundar,sundari
gallary,gallantry
kabool,bool
commercialmeter,commerciable
jawahar,Jwahar
dhawan,chawan
kuldeepkumaraap,
veena,veen
paytm,playtime
umar,Cumar
farooque,baroque
pankaj,pank
kane,kaneh
mjh,mho
milta,milt
confusing,confusingly
newberry,oneberry
ministryofpower,ministrer
karu,karou
bi,ubi
unknowledged,unacknowledged
kabhi,kashi
hmesha,Shesha
servor,servo
wjh,why
sharam,shram
ati,zati
muft,mufty
khate,khat
sabko,shako
lekr,lek
jaunga,jaun
samne,sane
lakin,laking
khodne,hone
thikh,think
kirpaya,kalipaya
isse,wisse
pareshani,preship
isper,risper
mitter,omitter
parmil,armil
continewsally,continentally
ofjuly,souly
mahal,mashal
lr,lar
undertaiking,undertaking
plase,please
ravi,ravin
reached,unreached
otherside,overside
ib,tib
jatwara,satara
tiraha,taiaha
behram,becram
hands,hand
gloves,glove
runners,runner
anaj,ana
filmistan,filmist
jhansi,sansi
atmaram,ramarama
chamelian,camelman
factories,factorize
colludes,collude
conducted,unconducted
rinfraofficial,inofficial
cofirm,confirm
azad,zad
jabab,jawab
numbr,number
tourching,touching
spots,sports
dcpeastdelhi,peaselike
emails,remail
takhat,that
khayali,kehaya
sita,sitar
krishan,Irishman
smt,smut
ansari,ansar
ashirwad,airward
bhawan,chawan
chaudhary,chahar
savita,avital
members,member
ragister,register
btaye,tayer
lakhi,lakie
sarpanch,scranch
madawali,sawali
delivered,undelivered
jaimatadi,matai
respons,response
compalint,compliant
neccassry,necessary
relented,unrelented
aajtak,Batak
costs,cost
nazrin,narine
aslo,aslop
nabi,nab
karim,kauri
bhaga,baga
bsesemployees,employee
lives,live
suman,subman
jul,jurel
finall,finally
fath,faith
khichripur,chichipe
fittings,fitting
accomodation,accommodation
justified,unjustified
qyt,yot
nh,nth
indra,indrawn
chhota,chonta
hasanpur,hasan
farji,far
bheja,bohea
loga,longa
hajar,ajar
tarike,tarlike
jach,ach
precautions,precaution
naiwala,nasial
namber,enamber
paleje,palkee
karwada,kawaka
jada,bajada
clearify,clarify
cc,cuck
flyover,layover
jaibin,jibi
nisha,wisha
totalling,tolling
gururam,gurrah
mla,mola
boht,bot
kehte,skete
badha,banda
garib,gariba
comings,coming
surendra,sundra
exceeded,unexceeded
instlled,uninstilled
properta,property
xtra,extra
alphbet,alphabet
camplained,campane
playstore,plastomere
scamster,seamster
scammed,cammed
navbharat,nacarat
hapening,happening
operations,operation
vindo,vino
compliments,compliment
surriender,surrender
electy,electly
tajinderbagga,standergrass
excuses,excuss
parked,sparked
hmara,matra
paya,praya
huaa,huaca
hmare,mare
vala,valva
jald,tald
lgvaiye,ilvaite
lamps,lampas
dishing,dishling
duping,dumping
onam,ona
sushila,slushily
mohan,moha
changes,change
discussing,discussion
organising,organing
struggles,struggle
chullu,hulu
upaay,upway
kro,karo
badhte,bate
alws,always
brahmpuri,bahur
disco,disc
gaddhe,gadder
khodenge,hodening
rekha,lekha
misbehaved,misbehave
workers,worker
hein,whein
buland,bulwand
irshad,shad
det,duet
grom,groom
wahi,wah
doguna,guna
gae,gaze
addresse,addresser
logon,logion
dalalon,alalonga
badhawa,bandhava
khule,khula
yadi,yad
shikayatvkar,shikasta
jayee,payee
ulte,ule
katne,skate
jayenge,jangle
chedkahnai,chekan
denge,dengue
faults,fault
kareeb,karree
wahh,wah
rahati,ratti
abe,wabe
jhoot,hoot
dusvi,dusio
aaa,aa
pichhle,pitchhole
wakt,wat
bura,bursa
hal,heal
rediculous,ridiculous
amarjeet,amreeta
telephones,telephone
drmonikapant,demonian
rajniwasdelhi,rajaship
bahubali,bubalis
entrie,ventrine
amitshahhmo,smitham
reveryfication,reverification
aana,asana
tarik,tari
nikl,nil
jayegi,jagir
pulast,pulaskite
lelo,velo
badhiya,baniya
julm,ulmo
mlkhattar,mulatta
inquired,inquire
babarpure,abature
subsidary,subsidiary
sheetal,sheet
gouns,grounds
sme,some
halp,whalp
delievering,relieving
erstwhile,erewhile
shirking,unshirking
responsibity,responsibility
harrasing,phrasing
zeenath,zenith
manybtime,haytime
karishma,karsha
kirpiya,kiri
chiye,chyme
dijie,dixie
marne,marine
irada,rada
mamy,mammy
ignoring,inring
jagjeet,geet
noises,noise
giggles,griggles
laughs,laugh
hojata,whata
humare,humate
chetan,hetman
chetak,chitak
bhawna,bohawn
tumhari,mehari
aisi,raisin
taisi,taxis
offsetting,setting
revdis,revise
gokalpur,kapur
directions,direction
nagari,nagara
helped,unhelped
subcidy,subacidly
nepali,Nepali
ghant,hant
kariye,karite
wtsp,wusp
lauded,unlauded
rendered,unrendered
rahulgandhi,heulandite
sadatpur,sandspur
ramkishan,rakish
thnku,think
reghar,rehear
janmashtami,animastic
solutions,solution
pleae,please
clients,client
finds,find
measures,measure
implementing,implement
practices,practice
monitoring,motoring
evaluating,evaluation
identifying,unidentifying
factors,factor
contributing,uncontributing
rates,rate
terms,term
figures,figure
maintaining,maintain
priorities,priorite
aftr,after
murkier,muskie
prevailing,unprevailing
dnd,dand
gotted,grottoed
str,stre
freebie,treebine
mlas,mas
cooperation,operation
liers,pliers
aug,augh
asasp,agasp
nighbour,neighbor
puchna,puna
chahta,chatta
ppac,pac
hisab,hilsa
apko,ako
lahori,Mahori
qutub,utu
ishu,pishu
buht,but
jyda,yday
inverters,inverter
lgta,lota
gardern,garden
govermnement,government
indian,indican
govermnent,government
sucks,shucks
tt,tyt
gpa,gapa
dera,derma
amounts,amount
notifications,notification
du,dux
harreshed,harshweed
checkout,checkup
credited,uncredited
behaved,behave
pachori,pakchoi
approches,approachless
discoursed,discourse
rooms,room
friends,friend
earners,earner
mdc,medic
rply,reply
london,loon
banega,banga
lagte,late
puraane,purslane
zamaane,zaman
yaad,yad
refuses,refuse
vido,video
cancelling,cancelli
hiked,hike
notanki,notan
rewuest,request
verificayion,verification
rok,rook
aligation,ligation
chutiya,hutia
rhai,rehair
yai,yati
milli,mill
bhagat,bhagavat
forwarded,unforwarded
lt,lut
mehesh,mesh
vasaunda,sauna
berkar,bear
thousands,thousand
jst,just
abt,abut
hd,hud
fines,fine
bese,obese
agr,agre
dekhta,lekha
pvt,pivot
taxes,axes
delhigovdigital,radiodigital
downloaded,downlooked
faultrs,faulter
punishing,unpunishing
cooperating,operating
tuch,touch
upgraded,upgrade
ncreased,uncreased
carne,carone
dekhi,dehair
padosi,pasi
ht,hut
hokar,hoar
huah,huh
ajkal,bakal
jal,jarl
deployed,employed
minst,mist
coordinates,ordinate
dtr,dutra
mazar,mazard
vidhansabha,dhanush
aay,away
koy,ko
santosh,stosh
janak,jank
placed,palaced
desu,ides
protocols,protocol
excesses,excess
encleve,enclave
dx,dux
yamunavhr,amunam
del,odel
walkers,walker
dropped,undropped
answr,answer
givn,given
nmbr,number
isproblem,problem
ise,wise
funda,fundal
pehale,rehale
abhishek,abhiseka
suryavanshi,surfmanship
daly,dally
bess,bless
answers,answer
spam,spasm
diff,differ
cr,cur
shes,shies
bahr,bahur
lgi,li
khrab,shrab
hthaye,thyme
chalu,chal
att,watt
gobind,goblin
aarahi,arachin
paltforms,platform
kah,kyah
samg,sam
dekhe,dekle
esa,pesa
kase,ukase
afte,after
hiding,hilding
cno,no
experiences,experience
happeing,happening
mpgautamgambhir,patamar
ivinodbachheti,vinoacetous
jobs,job
uddhav,Buddha
tripathi,tripart
oro,toro
diye,dye
pase,prase
bataea,batea
staffs,staff
speedup,speed
invoicing,unvoicing
virander,viander
bhuswhan,bushland
staus,status
kendra,kendyr
aksing,waking
contacte,contact
domes,dome
rounds,grounds
concocted,unconcocted
disst,diss
supplies,supplier
killed,skilled
walo,alo
naamo,naam
nishan,shan
occurred,occurrent
faces,fauces
proud,roud
bahadur,bahur
nanwa,nana
kh,khu
died,dried
hed,shed
gov,gove
dil,dirl
shashi,shahi
dabral,labral
wada,wadna
daaru,dalar
bechte,obeche
kudh,kudu
peene,peenge
ussi,Jussi
nashe,nash
needfull,needfully
jise,wise
sabhi,spahi
angles,angle
khana,khanda
csr,caser
forms,form
kcc,
processing,procession
cahnge,change
subitemmd,subitem
rikwa,rinka
nctdelhi,encitadel
kmla,kamala
mrket,market
ofice,office
jeena,keena
haram,harm
sone,stone
hmm,hammy
payenge,payee
karenge,kreng
jhuthe,jute
kasme,kasm
wado,wad
passes,passe
fullfill,fulfill
stating,starting
althought,although
shit,shita
primises,promise
servive,supervive
reapplied,reapplier
overloaded,overload
fille,fillet
chaiya,chaitya
karana,kerana
hn,hin
mter,moter
bolta,bota
rakesh,rakish
implements,implement
remaining,unremaining
cotact,contact
usme,use
saaf,saraf
bihar,zihar
phool,pool
facts,fact
samaspur,sandspur
resumes,resume
ghazipur,ghazi
akshardham,Mitakshara
difficulties,difficultness
khuli,khula
gardee,gardeen
sm,sum
followup,follow
colont,colon
chances,chance
shortcircuit,circuit
reacts,react
kailash,kilah
bhuda,buda
distt,distort
thak,thank
fenkte,fenter
paye,payer
gernal,genal
reminders,reminder
chect,cathect
bullshit,bullit
sumbuteed,subulated
answered,unanswered
persistant,persistent
habits,habitus
digamber,dimber
scanned,canned
representatives,representative
mam,marm
english,unenglish
enteres,enterer
depositing,deposition
eventhough,entrough
badiy,beadily
itney,witney
jish,jokish
focas,focus
karey,key
chota,chonta
chinta,chint
meetar,mettar
boox,box
waha,wha
bb,ebb
itll,ill
bharat,bhara
sadao,sado
items,item
delh,odel
harrassing,harassingly
harrassment,harassment
discusting,disgusting
pg,pug
eyes,yes
bhim,him
isstill,instill
bundles,bundle
raman,ragman
upde,uptide
cooy,coony
leass,less
pagal,plagal
kittens,kitten
interests,interest
theofficialsbi,official
sbi,si
sys,stays
transc,transect
transfd,transude
jaega,jagua
dekhene,ethene
insan,inspan
majburi,mabi
samjhe,samh
jld,julid
preshaan,presharpen
jafrabad,araba
thier,tier
timepass,impasse
stil,stilt
cercle,covercle
hundreds,hundred
sless,sess
thr,thro
yojna,yojana
pre,pyre
easly,measly
differs,differ
rooj,roto
sunwai,sunway
amal,ramal
offc,off
quoted,quote
softcopy,isotopy
highlighted,highlight
prateek,prate
shuru,shurf
brahampuri,Abrahamic
saket,sake
puchne,puce
koii,oii
vha,ha
hogyi,shogi
rewdi,rewin
baant,bant
fayda,Mayda
disrupts,disrupt
denying,denyingly
ends,mends
lldown,pulldown
prashant,rasant
storey,strey
tatapower,tower
sudhir,studier
compln,complin
circut,circuit
kisse,kisser
sampark,seamark
kru,okrug
krwaye,rewayle
usages,usage
ensuring,enduring
hira,hia
managalam,mangal
avoided,voided
chk,chyak
fails,fils
comple,compole
spectators,spectator
helps,help
julne,june
adikari,bandikai
dubara,durbar
humse,huse
engle,englobe
hamre,hare
mohammad,Mohammad
chnage,chainage
kwatt,watt
noreply,reply
ambey,ambery
hopping,whopping
trendency,tendency
mukhyamantri,myomantic
btaoge,brutage
jinka,jink
zada,zad
vikram,Bikram
ghanteshwar,antewar
neel,newel
hansraj,hansa
au,vau
aagya,amaga
departments,department
kahte,skate
bhr,buhr
jayege,jaeger
ssakta,satan
batya,baya
jauu,juju
mager,meager
pauuga,paga
nng,nanga
enorcment,enforcement
insatall,install
kismain,kinsman
bhejea,bohea
resltion,resolution
kamlesh,kayles
dtd,doted
faciltilator,facilitator
surender,surrender
grainter,granter
teamprory,teapoy
sincce,since
krdia,redia
onyvr,oneyer
nawabuddin,wadding
writes,write
joined,jointed
bots,boots
failures,failure
surya,sura
nepal,neal
jitender,intender
saini,sain
applicantion,application
nathi,gnathic
santar,sanitary
farat,frat
sounded,unsounded
delivering,diverting
darj,dar
itana,tana
chahiyae,chaitya
rashid,rash
delihitian,delighting
rajender,render
kamayani,Damayanti
shridhar,Sridhar
tiwari,tiar
sulema,ulema
karkardoom,darkroom
decreased,decrease
barunga,barauna
rahenge,range
noo,noop
employe,employer
bildingdepartment,department
pickpocketing,pickpocket
jagograhakjago,Hagiographa
confidencial,confidential
wites,witess
kamaal,kambal
sc,soc
announced,announce
interruptions,interruption
investigated,investigate
maligned,unmaligned
aakriti,prakriti
buildings,building
katauti,tautit
sheila,shela
bharatbillpay,barilla
sunce,sune
responses,response
manmani,amani
gayee,payee
kalimasjid,masjid
commissionerdelhipolice,commissionership
pleaseget,please
sanjay,sanjak
shalimar,shalwar
lagwana,lagna
pataye,paty
fazalpur,failure
mishaps,mishap
aeap,aheap
logs,longs
continous,continuous
anju,anus
providethe,provident
ajanta,anta
sawarkar,sarkar
parts,part
pravesh,ravenish
intzaar,qintar
loced,locked
consaff,cowlstaff
